window_id,run_slug,sequence,heldout_type,heldout_scope,batch,start_index,end_index_exclusive,classification,reason,severe_regression,positive_level,new_C_failure,structural_failure,backend_attempted,APE_delta_m,APE_delta_pct,RPE_delta_m,RPE_delta_pct,APE_repeat_range_threshold,RPE_repeat_range_threshold,RPE_guard_m
coe1_a01_00000_00900,coe1_a01_00000_00900,A01,sequence-held-out,six_C_all_development_windows,A,0,900,PRACTICAL_LOSS,,True,NONE,False,False,6,0.39994416751147377,257.96730621614734,0.04946954594349774,239.4766253903855,0.1477212554349705,0.018683697140455563,0.018683697140455563
coe1_a03_00000_00900,coe1_a03_00000_00900,A03,sequence-held-out,six_C_all_development_windows,A,0,900,PRACTICAL_LOSS,,True,NONE,False,False,6,2853.6054513891504,332577.0168706386,277.207709795188,351110.4057550522,85.72727867649428,7.5533454487055,7.5533454487055
coe1_a04_00000_00900,coe1_a04_00000_00900,A04,sequence-held-out,six_C_all_development_windows,A,0,900,PRACTICAL_GAIN,,False,ROBUST_PRACTICAL_GAIN,False,False,6,-743.0403362422487,-99.98468697418468,-90.28710857317002,-99.84779244949345,94.39824056936288,12.509566830059086,12.509566830059086
coe1_a05_00000_00900,coe1_a05_00000_00900,A05,sequence-held-out,six_C_all_development_windows,A,0,900,NOT_EVALUABLE,INVALID_COMMON_SUPPORT,False,NONE,False,False,6,,,,,,,
coe1_a06_00000_00900,coe1_a06_00000_00900,A06,sequence-held-out,six_C_all_development_windows,A,0,900,SMALL_OR_UNCERTAIN,,False,DIRECTIONAL_GAIN,False,False,6,-150.83522906605626,-99.37364003268472,-18.949613055791552,-99.02278456516528,181.44120275200834,22.59895293543207,22.59895293543207
coe1_a07_00000_00900,coe1_a07_00000_00900,A07,sequence-held-out,six_C_all_development_windows,A,0,900,PRACTICAL_GAIN,,False,ROBUST_PRACTICAL_GAIN,False,False,6,-2.8710162934543595,-94.30445767232793,-0.5754981648605441,-84.35878366081418,0.01119950345472187,0.0010165105069838143,0.03411015070905242
coe1_a10_00000_00900,coe1_a10_00000_00900,A10,sequence-held-out,six_C_all_development_windows,A,0,900,SMALL_OR_UNCERTAIN,,False,DIRECTIONAL_GAIN,False,False,6,-0.003457088698314195,-5.754575648182741,0.0014484776268865879,2.772602223543718,0.0006359502972640985,2.0264872755915153e-05,0.005
coe1_h01_00000_00900,coe1_h01_00000_00900,H01,sequence-held-out,six_C_all_development_windows,A,0,900,PENDING,,False,NONE,False,False,0,,,,,,,
coe1_h02_00000_00900,coe1_h02_00000_00900,H02,sequence-held-out,six_C_all_development_windows,A,0,900,PENDING,,False,NONE,False,False,0,,,,,,,
coe1_h03_00000_00900,coe1_h03_00000_00900,H03,sequence-held-out,six_C_all_development_windows,A,0,900,PENDING,,False,NONE,False,False,0,,,,,,,
coe1_h04_00000_00900,coe1_h04_00000_00900,H04,sequence-held-out,six_C_all_development_windows,A,0,900,PENDING,,False,NONE,False,False,0,,,,,,,
coe1_h05_00000_00900,coe1_h05_00000_00900,H05,sequence-held-out,six_C_all_development_windows,A,0,900,PENDING,,False,NONE,False,False,0,,,,,,,
coe1_a01_00900_01800,coe1_a01_00900_01800,A01,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_a03_00900_01800,coe1_a03_00900_01800,A03,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_a04_00900_01800,coe1_a04_00900_01800,A04,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_a05_00900_01800,coe1_a05_00900_01800,A05,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_a06_00900_01800,coe1_a06_00900_01800,A06,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_a07_00900_01800,coe1_a07_00900_01800,A07,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_a10_00900_01800,coe1_a10_00900_01800,A10,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_h01_00900_01800,coe1_h01_00900_01800,H01,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_h02_00900_01800,coe1_h02_00900_01800,H02,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_h03_00900_01800,coe1_h03_00900_01800,H03,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_h04_00900_01800,coe1_h04_00900_01800,H04,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
coe1_h05_00900_01800,coe1_h05_00900_01800,H05,sequence-held-out,six_C_all_development_windows,B,900,1800,NOT_ACTIVATED,,False,NONE,False,False,0,,,,,,,
